date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:09:13	39316/39316	---M-Z	200	added ('OK')	font/ttf	date:Sun,%2027%20Mar%202022%2016:33:53%20GMT	https://tl-centre.ge/fonts/ar-archy-thin.ttf	C:/My%20Web%20Sites/tl-center/tl-centre.ge/fonts/ar-archy-thin.ttf	(from https://tl-centre.ge/css/geo.css?v=1677845353)
16:09:13	54792/54792	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2012:09:26%20GMT	https://tl-centre.ge/news-info/inglisuri-enis-kursebi/	C:/My%20Web%20Sites/tl-center/tl-centre.ge/news-info/inglisuri-enis-kursebi/index.html	(from https://tl-centre.ge/)
16:09:14	44424/44424	---M--	200	added ('OK')	font/woff2	date:Sun,%2027%20Mar%202022%2016:33:54%20GMT	https://tl-centre.ge//fonts/dejavusans-webfont.woff2	C:/My%20Web%20Sites/tl-center/tl-centre.ge/fonts/dejavusans-webfont.woff2	(from https://tl-centre.ge/css/geo.css?v=1677845353)
16:09:14	62128/62128	---M--	200	added ('OK')	font/woff	date:Sun,%2027%20Mar%202022%2016:33:54%20GMT	https://tl-centre.ge/fonts/dejavusans-webfont.woff	C:/My%20Web%20Sites/tl-center/tl-centre.ge/fonts/dejavusans-webfont.woff	(from https://tl-centre.ge/css/geo.css?v=1677845353)
16:09:14	27069/27069	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2012:09:26%20GMT	https://tl-centre.ge/news-info/%e1%83%a1%e1%83%ac%e1%83%90%e1%83%95%e1%83%9a%e1%83%90-%e1%83%a1%e1%83%90%e1%83%96%e1%83%a6%e1%83%95%e1%83%90%e1%83%a0%e1%83%92%e1%83%90%e1%83%a0%e1%83%94%e1%83%97/	C:/My%20Web%20Sites/tl-center/tl-centre.ge/news-info/%e1%83%a1%e1%83%ac%e1%83%90%e1%83%95%e1%83%9a%e1%83%90-%e1%83%a1%e1%83%90%e1%83%96%e1%83%a6%e1%83%95%e1%83%90%e1%83%a0%e1%83%92%e1%83%90%e1%83%a0%e1%83%94%e1%83%97/index.html	(from https://tl-centre.ge/)
16:09:14	33516/33516	---M--	200	added ('OK')	font/woff2	date:Sun,%2027%20Mar%202022%2016:33:54%20GMT	https://tl-centre.ge//fonts/dejavusans-extralight-webfont.woff2	C:/My%20Web%20Sites/tl-center/tl-centre.ge/fonts/dejavusans-extralight-webfont.woff2	(from https://tl-centre.ge/css/geo.css?v=1677845353)
16:09:14	45056/45056	---M--	200	added ('OK')	font/woff	date:Sun,%2027%20Mar%202022%2016:33:54%20GMT	https://tl-centre.ge//fonts/dejavusans-extralight-webfont.woff	C:/My%20Web%20Sites/tl-center/tl-centre.ge/fonts/dejavusans-extralight-webfont.woff	(from https://tl-centre.ge/css/geo.css?v=1677845353)
16:09:14	71864/71864	---M--	200	added ('OK')	font/woff2	date:Sun,%2027%20Mar%202022%2016:33:54%20GMT	https://tl-centre.ge//fonts/dejavusans-bold-webfont.woff2	C:/My%20Web%20Sites/tl-center/tl-centre.ge/fonts/dejavusans-bold-webfont.woff2	(from https://tl-centre.ge/css/geo.css?v=1677845353)
16:09:15	111036/111036	---M--	200	added ('OK')	font/woff	date:Sun,%2027%20Mar%202022%2016:33:53%20GMT	https://tl-centre.ge/fonts/dejavusans-bold-webfont.woff	C:/My%20Web%20Sites/tl-center/tl-centre.ge/fonts/dejavusans-bold-webfont.woff	(from https://tl-centre.ge/css/geo.css?v=1677845353)
16:09:15	24112/24112	---M--	200	added ('OK')	font/woff2	date:Sun,%2027%20Mar%202022%2016:33:53%20GMT	https://tl-centre.ge//fonts/bpg_nino_medium_caps-webfont.woff2	C:/My%20Web%20Sites/tl-center/tl-centre.ge/fonts/bpg_nino_medium_caps-webfont.woff2	(from https://tl-centre.ge/css/geo.css?v=1677845353)
16:09:15	26621/26621	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2012:09:27%20GMT	https://tl-centre.ge/news-info/%e1%83%98%e1%83%9c%e1%83%92%e1%83%9a%e1%83%98%e1%83%a1%e1%83%a3%e1%83%a0%e1%83%98-%e1%83%94%e1%83%9c%e1%83%98%e1%83%a1-%e1%83%aa%e1%83%94%e1%83%9c%e1%83%a2%e1%83%a0%e1%83%98/	C:/My%20Web%20Sites/tl-center/tl-centre.ge/news-info/%e1%83%98%e1%83%9c%e1%83%92%e1%83%9a%e1%83%98%e1%83%a1%e1%83%a3%e1%83%a0%e1%83%98-%e1%83%94%e1%83%9c%e1%83%98%e1%83%a1-%e1%83%aa%e1%83%94%e1%83%9c%e1%83%a2%e1%83%a0%e1%83%98/index.html	(from https://tl-centre.ge/)
